site_no,lon,lat
03611850,-88.8396685740592,37.1002531968141
03611900,-88.7945702424649,37.1126997649217
05597500,-88.8340810791181,37.7607218033508
05599500,-89.1117999379499,38.0301960617229
05600000,-89.1741787979167,37.4001629024322
07024200,-88.3499689204759,36.078278975966
07024300,-88.3867401903064,35.9650095923533
07024500,-88.5180195527308,36.0508396157583
07025400,-88.5620693118729,36.4372179379783
07026300,-88.7490311246064,36.2224122485412
07027500,-88.6382522558054,35.5052962152981
07027720,-88.771288459003,35.5514003803198
07028100,-88.9071427701118,35.601352795558
07028960,-88.6568458505544,35.7562032620248
07029100,-88.9929188892302,35.8932873747097
07029270,-88.793149360589,34.7663502862739
07029500,-88.7559951578796,34.9744484479735
07030050,-88.926351972139,35.1573089889268
07030240,-89.4127489047951,35.2672398522218
07031650,-89.3701320017271,35.0351117290256
07031740,-89.425241232222,35.050793825565
07266000,-88.9129680682528,34.4401598338813
07268000,-89.0456394200635,34.4602140435959
07271000,-89.6363617969456,34.3357616530329
07274000,-89.3484682117402,34.2750730652392
07275000,-89.531973130854,34.2168784717416
07277700,-89.7800618452854,34.638966993968
07278500,-89.7670401238217,34.7698513678389
07280400,-89.9137675769437,33.9837261846934
07282000,-89.182305183862,33.902804074476
07283000,-89.1962621393552,34.0896500518387
07285500,-89.4332960013673,33.8735816652593
07287150,-90.0150919048743,33.3592870428579
07287160,-90.0186072061787,33.3589269457795
07287400,-89.9630546209921,33.1424900782639
07289350,-89.4725501593476,33.4257789016639
07289500,-89.5726756891008,33.3028454332347
07289730,-89.7544710237391,33.0935370448344
07346070,-94.8085688103864,32.7301692460387
07349000,-93.3100730314997,33.0835608254799
07349500,-93.5457373132944,33.2990926357434
07351000,-93.92965590713,32.3825786684992
07351748,-93.5221848297733,31.9959110121315
07351750,-93.6812228585771,32.1901912988787
07361600,-93.6568162536725,34.0986248945184
07363300,-92.3759221776172,34.4718104366575
07363400,-92.3748091392105,34.4341078611593
07364185,-91.7101313140613,33.7188651067307
07364200,-91.7139824320366,33.7293505548751
07367000,-92.7118145598897,33.729496895894
07367005,-92.7117889853696,33.7294451206228
07372050,-92.7396661365586,32.2358042793294
07375280,-90.4980604616105,31.1939012295184
07375500,-90.4533333789239,30.9277408075288
07378500,-90.907901910712,30.9450136299171
07380120,-90.9157255049626,30.8782472041573
07382000,-92.5379830930731,30.9992586064615
07382500,-92.4571685438644,31.0361832105638
08026000,-94.6805319130533,32.247302409765
08028000,-93.3167716947265,31.1768906765481
08028500,-94.5650716353991,32.1385476085571
08030500,-94.4780310649869,31.9784207785768
02374500,-87.0474468319448,31.5450085677513
02374745,-87.1511739326626,31.3314059634052
02374950,-87.3452260031851,31.3192992320037
02427250,-86.962168656433,31.870320357138
02427700,-87.6713030595138,32.0743212960363
02428500,-87.2301060351194,31.7337856756507
02429980,-88.2457785265409,34.6703541344604
02430085,-88.2448869298251,34.4751827228054
02430615,-88.3353193092915,34.4079736881747
02430880,-88.3477573634589,34.3344280854628
02433000,-88.1944112331912,34.281992998563
02438000,-87.8357419151815,34.1714112013427
02444000,-88.081366546137,33.4382791346444
02448900,-88.4440599780114,32.7966382074844
02450250,-87.4317844283552,34.3435603496385
02450825,-87.5110109695296,34.1812600408651
02464000,-87.6126399285798,33.6532934550034
02464146,-87.493748609016,33.4095065761521
02464360,-87.6826633508124,33.470555314282
02465493,-87.5231473122122,32.9692530047717
02467500,-88.5486263959886,32.6656654732628
02468500,-87.6643332178703,32.3351563367069
02469800,-87.9043297245763,31.8105078017312
02470072,-87.7609939651899,31.8971020686151
02472000,-89.4500268771297,32.0445244536218
02472500,-89.6597212622241,31.5865109016772
02472850,-89.612402631018,31.7328559220183
02479155,-89.0063442628424,31.0986845250469
02479431,-88.4117440763495,31.2100956845989
02479500,-88.3770526522901,31.1799024090721
02479560,-88.3873301126702,31.1504380155868
02483500,-89.2507253958522,32.7735149446154
02488700,-89.8727420116333,31.5897850045879
03384450,-88.5275050617349,37.5314156586595
03385000,-88.6194148114429,37.4786762820722
03592718,-88.259975968605,34.7990574746669
03593800,-88.0738211894387,35.10656514719
07030392,-89.1682447447271,34.9318816464613
07035500,-90.3791902866161,37.5920015639712
07037700,-90.6370920158182,37.1610117641173
07067000,-91.4750612559054,37.2211912069032
07068000,-91.3861746003535,37.149245612564
07071500,-91.5409187524036,36.8537191252284
07072000,-91.4599432289879,36.7660711976869
07073500,-91.7637577739582,36.082591126244
07075000,-92.495671928634,35.7720224475641
07075300,-92.6197299254095,35.6783108824948
